+--------------------------+------------+
| File                     | Time(secs) |
+--------------------------+------------+
| 00_connectorRK_Ideal.tst |   0.0424   |
| 00_convRxnRK.tst         |   0.1792   |
| 00_eqmRxnRK.tst          |   0.2876   |
| 00_eqnRK.tst             |   0.0559   |
| 00_hypoRK.tst            |   0.0204   |
| 00_man-coolerIdeal.tst   |   0.0193   |
| 00_man-valveRK.tst       |   0.0121   |
| 00_molebalRK.tst         |   0.0202   |
| 00_patestRK.tst          |   0.2655   |
| 00_recycleIdeal.tst      |   0.0760   |
| 00_refrigLoopRK.tst      |   0.0380   |
| 00_scriptopRK.tst        |   0.0271   |
| 00_styreneIdeal.tst      |   1.2105   |
| 00_towerspecRK.tst       |   0.9843   |
| c3splitter.tst           |   1.5391   |
| column.tst               |   1.1011   |
| compHSFlash.tst          |   0.1095   |
| compressor.tst           |   0.0912   |
| compressor2.tst          |   0.5001   |
| compressorwcurve.tst     |   0.1207   |
| compsplit.tst            |   0.0660   |
| connector.tst            |   0.0619   |
| consisterrs.tst          |   0.0224   |
| controller.tst           |   0.7742   |
| convrxn.tst              |   0.2050   |
| degsubcool.tst           |   2.7196   |
| demeth.tst               |   0.1081   |
| deprop.tst               |   1.1165   |
| deprop2.tst              |   0.4724   |
| dummy.tst                |   0.0101   |
| ejector.tst              |   0.0787   |
| eqmRxn.tst               |   0.5882   |
| eqn.tst                  |   0.0647   |
| expanderwcurve.tst       |   0.1339   |
| flowsheet1.tst           |   0.0937   |
| flowsheet2.tst           |   0.0712   |
| gasplant.tst             |   0.6428   |
| gibbsRxn.tst             |   0.0398   |
| heater.tst               |   0.0627   |
| heatex.tst               |   0.0493   |
| heatexUA.tst             |   0.1375   |
| heatpump.tst             |   0.2936   |
| hxphasechange.tst        |   0.4182   |
| hxplaywithsides.tst      |   0.2639   |
| hxprofiles.tst           |   0.0960   |
| hxthreesides.tst         |   0.1881   |
| hydrate.tst              |   0.1723   |
| hypo.tst                 |   0.0215   |
| lookup.tst               |   0.0106   |
| man-controller.tst       |   0.1610   |
| man-convrxn.tst          |   0.0488   |
| man-cooler.tst           |   0.0226   |
| man-dehy1.tst            |   0.3954   |
| man-ethanol-ideal.tst    |   0.0813   |
| man-ethanol-wilson.tst   |   0.2859   |
| man-ethanol.tst          |   0.3424   |
| man-heater-ideal.tst     |   0.0255   |
| man-heater.tst           |   0.0318   |
| man-material.tst         |   0.0428   |
| man-mixer.tst            |   0.0925   |
| man-propsensor.tst       |   0.0572   |
| man-splitter.tst         |   0.0753   |
| man-valve.tst            |   0.0187   |
| mechengpump.tst          |   0.0323   |
| mixandflash.tst          |   0.0384   |
| molebal.tst              |   0.0185   |
| n2reject.tst             |   0.2853   |
| patest.tst               |   1.5760   |
| perry_ex02.tst           |   0.1925   |
| perry_ex03.tst           |   0.0608   |
| perry_ex04.tst           |   0.1092   |
| pfr2.tst                 |   0.0301   |
| pipesegment.tst          |   1.8431   |
| pump.tst                 |   0.1318   |
| recycle.tst              |   0.3697   |
| recycle2.tst             |   0.2102   |
| scriptop.tst             |   0.0238   |
| seader_10_27.tst         |   0.1178   |
| seader_10_34.tst         |   0.1255   |
| seader_10_35.tst         |   0.1089   |
| seader_10_36.tst         |   0.0603   |
| seader_10_37.tst         |   0.0538   |
| seader_10_39.tst         |   0.0850   |
| seader_10_4.tst          |   0.0786   |
| seader_10_40.tst         |   0.1189   |
| seader_10_41.tst         |   0.0897   |
| set.tst                  |   0.0202   |
| set_valves.tst           |   0.0748   |
| shortcolumn.tst          |   0.0929   |
| signalstream.tst         |   0.0201   |
| simpleflash.tst          |   0.0409   |
| sstest.tst               |   0.2135   |
| stab.tst                 |   0.1096   |
| Testdes2phase.tst        |   0.0303   |
| towerspec.tst            |   0.9907   |
| turboexp.tst             |   0.1658   |
| valueOf.tst              |   0.0261   |
|                          |            |
| TOTAL                    |  24.9097   |
+--------------------------+------------+
