+------------------------+------------+
| File                   | Time(secs) |
+------------------------+------------+
| 00_convRxnRK.tst       |   0.1379   |
| 00_eqmRxnRK.tst        |   0.2521   |
| 00_eqnRK.tst           |   0.0450   |
| 00_hypoRK.tst          |   0.0157   |
| 00_man-valveRK.tst     |   0.0120   |
| 00_molebalRK.tst       |   0.0140   |
| 00_patestRK.tst        |   0.2090   |
| 00_recycleIdeal.tst    |   0.0530   |
| 00_refrigLoopRK.tst    |   0.0290   |
| 00_scriptopRK.tst      |   0.0702   |
| 00_styreneIdeal.tst    |   0.9002   |
| 00_towerspecRK.tst     |   0.7037   |
| c3splitter.tst         |   1.2044   |
| column.tst             |   0.9043   |
| compHSFlash.tst        |   0.0908   |
| compressor.tst         |   0.0750   |
| compressor2.tst        |   0.4241   |
| compressorwcurve.tst   |   0.1010   |
| compsplit.tst          |   0.0570   |
| connector.tst          |   0.0590   |
| consisterrs.tst        |   0.0190   |
| controller.tst         |   0.6572   |
| convrxn.tst            |   0.1750   |
| degsubcool.tst         |   2.0685   |
| demeth.tst             |   0.0730   |
| deprop.tst             |   0.7922   |
| deprop2.tst            |   0.3501   |
| ejector.tst            |   0.0610   |
| eqmRxn.tst             |   0.5131   |
| eqn.tst                |   0.0510   |
| expanderwcurve.tst     |   0.1049   |
| flowsheet1.tst         |   0.0770   |
| flowsheet2.tst         |   0.0580   |
| gasplant.tst           |   0.5192   |
| gibbsRxn.tst           |   0.0300   |
| heater.tst             |   0.0500   |
| heatex.tst             |   0.0410   |
| heatexUA.tst           |   0.1050   |
| heatpump.tst           |   0.2270   |
| hxphasechange.tst      |   0.3681   |
| hxplaywithsides.tst    |   0.2452   |
| hxprofiles.tst         |   0.0820   |
| hxthreesides.tst       |   0.1530   |
| hydrate.tst            |   0.1680   |
| hypo.tst               |   0.0170   |
| lookup.tst             |   0.0090   |
| man-controller.tst     |   0.1290   |
| man-convrxn.tst        |   0.0330   |
| man-cooler.tst         |   0.1030   |
| man-dehy1.tst          |   0.3111   |
| man-ethanol-ideal.tst  |   0.0660   |
| man-ethanol-wilson.tst |   0.2580   |
| man-ethanol.tst        |   0.3181   |
| man-heater-ideal.tst   |   0.0230   |
| man-heater.tst         |   0.0249   |
| man-material.tst       |   0.0370   |
| man-mixer.tst          |   0.0810   |
| man-propsensor.tst     |   0.0481   |
| man-splitter.tst       |   0.0630   |
| man-valve.tst          |   0.0160   |
| mechengpump.tst        |   0.1010   |
| mixandflash.tst        |   0.0270   |
| molebal.tst            |   0.0160   |
| n2reject.tst           |   0.2301   |
| patest.tst             |   1.8736   |
| perry_ex02.tst         |   0.1530   |
| perry_ex03.tst         |   0.0460   |
| perry_ex04.tst         |   0.0810   |
| pfr2.tst               |   0.0400   |
| pipesegment.tst        |   1.3403   |
| pump.tst               |   0.1100   |
| recycle.tst            |   0.3101   |
| recycle2.tst           |   0.1710   |
| scriptop.tst           |   0.0690   |
| seader_10_27.tst       |   0.1010   |
| seader_10_34.tst       |   0.1010   |
| seader_10_35.tst       |   0.0830   |
| seader_10_36.tst       |   0.0550   |
| seader_10_37.tst       |   0.0460   |
| seader_10_39.tst       |   0.0670   |
| seader_10_4.tst        |   0.0570   |
| seader_10_40.tst       |   0.0900   |
| seader_10_41.tst       |   0.0700   |
| set.tst                |   0.0160   |
| set_valves.tst         |   0.0570   |
| shortcolumn.tst        |   0.0680   |
| signalstream.tst       |   0.0280   |
| simpleflash.tst        |   0.0300   |
| sstest.tst             |   0.1791   |
| stab.tst               |   0.0900   |
| Testdes2phase.tst      |   0.0230   |
| towerspec.tst          |   0.7252   |
| turboexp.tst           |   0.1360   |
| valueOf.tst            |   0.0220   |
|                        |            |
| TOTAL                  |  20.4963   |
+------------------------+------------+
